step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
239,PAYMENT,2363.31,C227021704,79864.43,77501.12,M1187922900,0.0,0.0,0,0
182,TRANSFER,268762.27,C1922819667,0.0,0.0,C56995326,298833.91,567596.18,0,0
250,CASH_IN,68820.55,C471898430,59484.0,128304.55,C1358066258,1149438.47,1080617.92,0,0
37,CASH_OUT,44324.55,C653195056,0.0,0.0,C145912151,72119.51,116444.06,0,0
33,CASH_OUT,601814.39,C2012176792,0.0,0.0,C1206131974,708364.8,1310179.19,0,0
156,PAYMENT,19882.89,C1998048191,174695.0,154812.11,M2065023801,0.0,0.0,0,0
182,PAYMENT,3315.77,C2058984839,0.0,0.0,M1644924816,0.0,0.0,0,0
178,CASH_OUT,88805.34,C876328708,0.0,0.0,C1878977042,435588.56,524393.9,0,0
44,CASH_IN,252720.65,C148391290,8727805.58,8980526.23,C143770259,292713.61,151511.18,0,0
304,PAYMENT,15429.52,C1646464363,407.0,0.0,M237846196,0.0,0.0,0,0
332,CASH_IN,338176.82,C374098076,4783372.61,5121549.43,C1593068753,7410215.77,7072038.95,0,0
40,CASH_OUT,381127.49,C451582307,23011.04,0.0,C1876743315,1062785.91,1443913.4,0,0
234,CASH_IN,31040.22,C1627763455,4680522.1,4711562.32,C277188996,461292.74,430252.52,0,0
211,TRANSFER,1887430.92,C1622155600,0.0,0.0,C1408773941,2878100.56,4765531.48,0,0
323,CASH_OUT,137078.71,C213183402,362719.0,225640.29,C744675175,930977.69,1068056.4,0,0
330,CASH_OUT,42557.62,C580693181,0.0,0.0,C1876762712,394497.09,437054.71,0,0
369,CASH_IN,43549.52,C552543468,26984.0,70533.52,C731697517,639040.6,595491.08,0,0
298,PAYMENT,5807.17,C67117758,0.0,0.0,M703509762,0.0,0.0,0,0
566,PAYMENT,11292.18,C1612360379,70487.0,59194.82,M1630463651,0.0,0.0,0,0
33,PAYMENT,22303.81,C516894392,137128.66,114824.85,M737199804,0.0,0.0,0,0
217,CASH_IN,170511.37,C1299568192,1188058.11,1358569.48,C285825189,1476279.21,1305767.83,0,0
326,TRANSFER,1738233.12,C2120634495,0.0,0.0,C710859720,6543962.21,8282195.34,0,0
11,CASH_OUT,137124.66,C2115241874,0.0,0.0,C247461277,1117663.69,1092760.74,0,0
181,CASH_OUT,208992.64,C1796208076,0.0,0.0,C1229963378,362852.16,571844.8,0,0
405,CASH_OUT,23657.89,C2089091440,10665.0,0.0,C1549015033,3289614.12,3313272.02,0,0
587,PAYMENT,14312.42,C1966148875,76679.47,62367.05,M268096938,0.0,0.0,0,0
402,CASH_OUT,24390.8,C1680385236,50077.0,25686.2,C264155672,0.0,24390.8,0,0
185,CASH_OUT,117452.72,C1683861323,474716.37,357263.65,C1981193949,501949.76,619402.48,0,0
180,PAYMENT,67288.88,C1685473836,0.0,0.0,M674105955,0.0,0.0,0,0
236,PAYMENT,4350.1,C166000426,37438.55,33088.46,M162356907,0.0,0.0,0,0
256,CASH_OUT,151671.28,C1116870806,0.0,0.0,C568419755,8425888.8,8577560.09,0,0
205,PAYMENT,12774.86,C1168083827,109622.75,96847.89,M1978673579,0.0,0.0,0,0
234,CASH_IN,339445.93,C57974160,286.0,339731.93,C931057858,85046.6,0.0,0,0
187,PAYMENT,3379.54,C528702826,20713.0,17333.46,M911022700,0.0,0.0,0,0
333,PAYMENT,19297.07,C131070116,56829.0,37531.93,M201598294,0.0,0.0,0,0
37,CASH_OUT,74267.81,C1023478945,0.0,0.0,C1651058449,1101671.13,1253797.15,0,0
202,CASH_OUT,80255.9,C1342016053,0.0,0.0,C2137667838,3239211.55,3319467.45,0,0
375,CASH_OUT,177805.72,C1486451407,0.0,0.0,C923788241,12325784.54,12503590.25,0,0
282,CASH_OUT,77506.54,C948143842,5017.0,0.0,C28747554,695135.98,772642.52,0,0
323,CASH_OUT,103713.21,C2116966463,0.0,0.0,C1803786162,396952.48,500665.68,0,0
330,CASH_OUT,160488.56,C1727378753,10880.0,0.0,C887738184,0.0,160488.56,0,0
235,CASH_IN,193459.04,C1343802840,17041245.03,17234704.07,C1683900465,471419.82,277960.78,0,0
329,CASH_IN,140110.85,C2124392551,25088851.56,25228962.41,C79161073,260607.37,120496.53,0,0
322,CASH_IN,59819.9,C120589658,1887486.88,1947306.78,C1573421915,610635.59,550815.69,0,0
330,CASH_IN,125852.01,C325904187,10078.0,135930.01,C1787661783,119010.44,0.0,0,0
226,PAYMENT,49317.08,C612181286,5544.0,0.0,M1768023291,0.0,0.0,0,0
300,PAYMENT,20155.83,C1475521186,1488.0,0.0,M204326939,0.0,0.0,0,0
297,CASH_OUT,394864.04,C1896394928,190976.0,0.0,C1930862168,0.0,394864.04,0,0
282,CASH_OUT,238542.66,C1840664153,52447.0,0.0,C664179089,463426.46,701969.12,0,0
211,CASH_OUT,80333.27,C1948646809,20967.0,0.0,C1221587221,0.0,80333.27,0,0
183,CASH_OUT,308270.26,C1192166144,102114.0,0.0,C418427225,285139.71,593409.97,0,0
17,CASH_OUT,169084.78,C1162544512,289032.64,119947.85,C278639749,31114.0,200198.78,0,0
327,CASH_OUT,132803.46,C969317047,0.0,0.0,C1703110816,181865.5,314668.96,0,0
201,PAYMENT,943.87,C439488523,147871.21,146927.34,M902614231,0.0,0.0,0,0
348,CASH_OUT,201680.44,C62617768,0.0,0.0,C912269219,446496.07,648176.51,0,0
374,TRANSFER,179721.39,C1956108145,46673.0,0.0,C207697019,4321748.5,4501469.89,0,0
256,CASH_IN,100690.53,C1187449182,1377079.29,1477769.81,C1239112374,453277.42,352586.9,0,0
187,PAYMENT,8058.12,C366267346,79869.0,71810.88,M1464169901,0.0,0.0,0,0
33,CASH_OUT,300584.69,C736252424,9960.0,0.0,C1321096136,0.0,300584.69,0,0
45,TRANSFER,192883.4,C1497186209,34947.0,0.0,C276846611,50211.13,243094.53,0,0
278,PAYMENT,5907.09,C1294025132,207919.0,202011.91,M1579602344,0.0,0.0,0,0
188,CASH_OUT,96510.54,C1433974766,30898.0,0.0,C2078801882,25514.02,122024.56,0,0
228,CASH_OUT,286512.27,C2126691525,49566.0,0.0,C22508708,0.0,286512.27,0,0
487,CASH_OUT,59272.4,C675087621,0.0,0.0,C621829182,128044.83,187317.23,0,0
379,TRANSFER,964508.61,C772273998,0.0,0.0,C340069732,1176596.37,2141104.98,0,0
259,CASH_IN,359030.45,C1048866155,10262.0,369292.45,C123424449,791142.39,432111.94,0,0
730,TRANSFER,10000000.0,C476780134,27316255.05,17316255.05,C1150932816,0.0,0.0,1,0
44,DEBIT,3053.82,C354557654,16992.0,13938.18,C532217344,1312348.18,1315402.0,0,0
307,PAYMENT,9962.33,C1634438045,11092.0,1129.67,M291516203,0.0,0.0,0,0
205,CASH_OUT,38353.07,C2087448285,10971.0,0.0,C69291807,21563.91,59916.98,0,0
204,TRANSFER,174577.51,C1439028055,0.0,0.0,C1338402100,354867.81,529445.32,0,0
303,CASH_IN,84892.15,C800018551,4150060.57,4234952.72,C1344368947,294309.18,209417.02,0,0
275,PAYMENT,1026.45,C1567622185,308.0,0.0,M550045280,0.0,0.0,0,0
378,PAYMENT,601.17,C688765389,102220.0,101618.83,M1510080471,0.0,0.0,0,0
259,CASH_IN,30758.54,C679855478,17358615.79,17389374.33,C768798542,90821.47,60062.93,0,0
19,CASH_OUT,134991.28,C1628394535,0.0,0.0,C1225616405,1830365.62,1965356.9,0,0
38,CASH_OUT,73970.66,C1349305734,0.0,0.0,C72803994,576872.72,650843.39,0,0
11,PAYMENT,8390.17,C1903709676,6594.63,0.0,M1059296303,0.0,0.0,0,0
278,CASH_OUT,147798.29,C1882496760,0.0,0.0,C86937980,3593899.36,3741697.64,0,0
19,CASH_IN,141126.4,C1483046369,286830.91,427957.31,C425542772,1946383.36,1805256.96,0,0
162,PAYMENT,5144.92,C1469410906,0.0,0.0,M607072263,0.0,0.0,0,0
369,PAYMENT,1780.81,C8690011,20666.0,18885.19,M1900554349,0.0,0.0,0,0
378,CASH_IN,34036.9,C721746761,619875.51,653912.41,C1000505230,296059.22,262022.33,0,0
306,PAYMENT,1874.71,C2136947268,0.0,0.0,M1520410541,0.0,0.0,0,0
300,CASH_IN,123819.27,C1280790814,196636.0,320455.27,C1435560848,0.0,0.0,0,0
9,PAYMENT,11872.1,C1849001823,203388.0,191515.9,M759764906,0.0,0.0,0,0
252,PAYMENT,18540.09,C1473502730,0.0,0.0,M747254752,0.0,0.0,0,0
298,PAYMENT,26627.99,C958692755,728854.04,702226.05,M1802904721,0.0,0.0,0,0
43,TRANSFER,533325.31,C765731868,352.0,0.0,C2044012087,650051.38,891163.86,0,0
41,CASH_IN,19612.31,C1588192953,3038247.3,3057859.6,C1959729443,356163.02,336550.71,0,0
15,CASH_IN,270181.2,C1764618712,16707.0,286888.2,C886559687,318821.28,48640.09,0,0
259,CASH_OUT,129070.62,C913114284,30054.0,0.0,C307930994,0.0,129070.62,0,0
157,CASH_OUT,179472.23,C923152344,822.0,0.0,C209720727,153353.33,332825.56,0,0
236,CASH_OUT,102480.42,C33206143,189049.51,86569.09,C52958834,341690.0,690608.06,0,0
251,CASH_IN,352492.54,C205320574,4040162.61,4392655.16,C2105591996,3520596.5,3168103.95,0,0
259,CASH_OUT,168707.26,C1512419371,3611.0,0.0,C1540264653,887398.27,1056105.53,0,0
284,PAYMENT,3907.16,C430438292,47351.0,43443.84,M1212569022,0.0,0.0,0,0
347,CASH_OUT,327657.85,C1561134848,0.0,0.0,C662231183,799471.94,1127129.79,0,0
19,CASH_IN,68045.41,C1702995638,7058212.09,7126257.5,C491549847,659989.49,591944.07,0,0
283,CASH_OUT,182252.0,C176138111,107304.0,0.0,C689403395,0.0,182252.0,0,0
44,CASH_OUT,83722.54,C959398735,0.0,0.0,C957245074,2112703.05,2196425.59,0,0
335,CASH_IN,187563.42,C1851780164,1122775.35,1310338.77,C925142279,1445452.14,1257888.71,0,0
321,PAYMENT,21049.89,C1218794165,8068.0,0.0,M1437547945,0.0,0.0,0,0
186,CASH_IN,52251.12,C464426212,2773702.51,2825953.63,C2130447033,199016.66,39522.1,0,0
300,PAYMENT,33444.09,C890538027,21091.0,0.0,M568358831,0.0,0.0,0,0
322,CASH_IN,237385.87,C405892907,335568.73,572954.6,C1410582486,9330008.05,9092622.18,0,0
212,PAYMENT,1123.92,C307784119,69213.02,68089.1,M1166636385,0.0,0.0,0,0
134,PAYMENT,2929.52,C1018948905,0.0,0.0,M785860531,0.0,0.0,0,0
334,CASH_IN,52059.98,C982093155,7969830.14,8021890.12,C715469011,271319.95,219259.97,0,0
402,CASH_OUT,23105.94,C2009222973,2119.0,0.0,C267361044,204019.12,227125.05,0,0
407,PAYMENT,8281.81,C269060774,13297.0,5015.19,M698968149,0.0,0.0,0,0
307,CASH_IN,170750.98,C949821551,3142128.74,3312879.72,C1862851513,458964.24,288213.26,0,0
186,PAYMENT,262.23,C1805896737,27925.87,27663.64,M1163264667,0.0,0.0,0,0
328,PAYMENT,1583.66,C1108625087,65485.54,63901.88,M2034687968,0.0,0.0,0,0
399,CASH_OUT,704933.2,C1697087300,10088.0,0.0,C939472001,0.0,704933.2,0,0
259,CASH_IN,96867.39,C17634401,8276.0,105143.39,C1792617648,312288.22,215420.83,0,0
329,CASH_IN,137145.59,C1830763002,19347.0,156492.59,C2124585414,0.0,0.0,0,0
496,PAYMENT,27748.97,C866826646,0.0,0.0,M127256088,0.0,0.0,0,0
203,PAYMENT,17895.07,C966072824,33645.0,15749.93,M1474685267,0.0,0.0,0,0
400,CASH_IN,32161.27,C1300087077,2119793.62,2151954.89,C1179573629,186523.08,154361.81,0,0
211,PAYMENT,11025.2,C927130979,1042.0,0.0,M36225483,0.0,0.0,0,0
301,CASH_IN,59645.46,C776324557,181705.87,241351.33,C825560837,362162.78,302517.31,0,0
156,CASH_OUT,628560.82,C2139865086,191790.0,0.0,C2079557365,107784.87,736345.7,0,0
369,CASH_OUT,250693.93,C1613176544,441866.0,191172.07,C176084920,485348.35,736042.29,0,0
